Company,Instrument,Credit Rating,1Y Range,% Assets
1110. Sundaram Low Duration Fund - Institutional Plan
REC 274-D 07/02/2020,Commercial Paper,A1+,0.00 - 6.62,6.62
TMF Holdings 2020,Privately Placed Debts,AA-,0.00 - 6.20,6.20
8.5% SIDBI 2021,Debenture,AAA,0.00 - 5.09,5.09
National Bank Agr. Rur. Devp 2020,Certificate of Deposit,A1+,0.00 - 8.40,4.85
HDFC 362-D 02/03/2020,Commercial Paper,A1+,0.00 - 4.85,4.85
Axis Bank 2020,Certificate of Deposit,A1+,0.00 - 4.85,4.85
Export-Import Bank 2020,Certificate of Deposit,A1+,0.00 - 4.83,4.83
HDFC Bank 2020,Certificate of Deposit,A1+,0.00 - 4.12,3.88
8.75% Muthoot Finance 2021,Bonds/NCDs,AA,1.46 - 3.87,3.87
8.05% HDFC 2022,Debenture,AAA,0.00 - 3.02,3.02
7.99% LIC Housing Fin. 2029,Non Convertible Debenture,AAA,0.00 - 3.01,3.01
8.9% Reliance Jio Infocomm 2020,Debenture,AAA,0.00 - 3.00,3.00
7.44% PNB Housing Finance 2019,Bonds/NCDs,AA+,0.00 - 2.98,2.98
National Bank Agr. Rur. Devp 2020,Certificate of Deposit,A1+,0.00 - 2.83,2.83
Bank of Baroda 2020,Certificate of Deposit,A1+,0.00 - 8.43,2.32
9.3434% M&M Financial Services 2020,Bonds/Debentures,AAA,0.00 - 2.21,2.21
8.37% National Bank Agr. Rur. Devp 2021,Debenture,AAA,0.00 - 2.17,2.03
8.1% Power Finance Corp. 2024,Non Convertible Debenture,AAA,0.00 - 2.00,2.00
7.2% IRFC 2020,Bonds,AAA,0.00 - 2.00,2.00
Kotak Mahindra Bank 2019,Certificate of Deposit,A1+,0.00 - 1.97,1.97
SIDBI 2020,Commercial Paper,A1+,0.00 - 4.76,1.94
Power Finance Corp. 360-D 06/03/2020,Commercial Paper,A1+,0.00 - 1.94,1.94
Axis Bank 2020,Certificate of Deposit,A1+,0.00 - 1.94,1.94
Axis Bank 2020,Certificate of Deposit,A1+,0.00 - 1.88,1.88
SREI Equipment Finance 2022,Structured Obligation,AAA,1.06 - 1.90,1.62
1111. Sundaram Low Duration Fund - Regular Plan
REC 274-D 07/02/2020,Commercial Paper,A1+,0.00 - 6.62,6.62
TMF Holdings 2020,Privately Placed Debts,AA-,0.00 - 6.20,6.20
8.5% SIDBI 2021,Debenture,AAA,0.00 - 5.09,5.09
National Bank Agr. Rur. Devp 2020,Certificate of Deposit,A1+,0.00 - 8.40,4.85
HDFC 362-D 02/03/2020,Commercial Paper,A1+,0.00 - 4.85,4.85
Axis Bank 2020,Certificate of Deposit,A1+,0.00 - 4.85,4.85
Export-Import Bank 2020,Certificate of Deposit,A1+,0.00 - 4.83,4.83
HDFC Bank 2020,Certificate of Deposit,A1+,0.00 - 4.12,3.88
8.75% Muthoot Finance 2021,Bonds/NCDs,AA,1.46 - 3.87,3.87
8.05% HDFC 2022,Debenture,AAA,0.00 - 3.02,3.02
7.99% LIC Housing Fin. 2029,Non Convertible Debenture,AAA,0.00 - 3.01,3.01
