Company,Sector,PE,3Y High,3Y Low,% Assets
723. Sundaram Long Term Tax Advantage Fund Series I - Regular Plan
ICICI Bank,Financial,54.60,7.08,3.30,7.08
HDFC Bank,Financial,29.04,6.10,3.53,6.10
Infosys,Technology,17.88,6.70,0.00,4.62
Larsen & Toubro,Construction,21.91,4.56,1.77,4.56
Reliance Industries,Energy,21.03,6.60,1.82,4.53
HDFC,Financial,34.78,4.32,0.00,4.32
Berger Paints India,Chemicals,87.74,4.09,0.00,4.09
State Bank of India,Financial,30.54,5.01,2.38,4.06
Tech Mahindra,Technology,16.09,4.75,0.00,3.68
ITC,FMCG,24.06,5.59,2.53,3.65
Kotak Mahindra Bank,Financial,37.46,3.93,0.00,3.35
Varun Beverages,FMCG,43.18,5.04,1.79,3.28
SBI Life Insurance Company,Financial,80.59,3.17,0.00,3.17
Grasim Industries,Construction,25.90,3.09,0.00,2.83
Axis Bank,Financial,45.35,3.24,0.00,2.53
BPCL,Energy,19.33,2.01,0.00,2.01
Tata Chemicals,Chemicals,13.07,2.05,0.00,1.99
Aditya Birla Fashion and Retail,Services,47.13,2.26,0.00,1.98
Tata Global Beverages,FMCG,42.19,2.01,0.00,1.92
Tata Consultancy Services,Technology,24.03,2.70,0.00,1.78
Vardhman Textiles,Textiles,7.64,3.00,0.71,1.71
Hikal,Healthcare,15.36,1.70,0.00,1.63
Mahindra & Mahindra,Automobile,12.49,4.84,1.59,1.59
Balrampur Chini Mills,FMCG,5.78,1.97,0.00,1.52
Federal Bank,Financial,10.94,1.45,0.00,1.45
724. Sundaram Long Term Tax Advantage Fund Series II - Regular Plan
ICICI Bank,Financial,54.60,7.72,3.14,7.72
HDFC Bank,Financial,29.04,7.32,0.00,7.32
Infosys,Technology,17.88,6.48,0.00,4.70
Larsen & Toubro,Construction,21.91,4.63,1.76,4.63
Reliance Industries,Energy,21.03,6.48,3.50,4.61
HDFC,Financial,34.78,4.39,0.00,4.39
State Bank of India,Financial,30.54,5.33,2.26,4.38
Tech Mahindra,Technology,16.09,4.43,0.00,4.38
Berger Paints India,Chemicals,87.74,4.17,0.00,4.17
Kotak Mahindra Bank,Financial,37.46,3.59,0.00,3.59
Varun Beverages,FMCG,43.18,3.71,0.00,3.54
SBI Life Insurance Company,Financial,80.59,3.22,0.00,3.22
Grasim Industries,Construction,25.90,3.32,0.00,2.78
ITC,FMCG,24.06,5.68,2.53,2.64
Axis Bank,Financial,45.35,3.40,0.00,2.60
BPCL,Energy,19.33,2.27,0.00,2.27
Aditya Birla Fashion and Retail,Services,47.13,2.22,0.00,2.22
Tata Consultancy Services,Technology,24.03,2.60,0.00,2.19
Tata Chemicals,Chemicals,13.07,2.01,0.00,2.01
Hikal,Healthcare,15.36,2.00,0.00,1.98
Tata Global Beverages,FMCG,42.19,2.10,0.00,1.97
Vardhman Textiles,Textiles,7.64,2.60,0.65,1.85
Mahindra & Mahindra,Automobile,12.49,3.73,1.67,1.76
HCL Technologies,Technology,14.98,2.64,1.01,1.69
Balrampur Chini Mills,FMCG,5.78,1.98,0.00,1.55
725. Sundaram Long Term Tax Advantage Fund Series III - Regular Plan
TCNS Clothing,Textiles,34.20,4.51,0.00,3.90
CreditAccess Grameen,Financial,26.39,3.82,0.00,3.82
JK Cement,Construction,19.87,4.07,0.00,3.76
Thyrocare Technologies,Healthcare,30.47,3.93,0.00,3.35
Orient Electric,Engineering,52.61,3.26,0.00,3.21
MM Forgings,Metals,12.85,4.31,0.00,3.08
Kei Industries,Engineering,21.95,3.02,0.00,3.02
Timken India,Engineering,35.15,2.98,0.00,2.98
Heidelberg Cement India,Construction,17.08,3.10,0.00,2.88
Ashoka Buildcon,Construction,10.52,5.27,0.00,2.74
Brigade Enterprises,Construction,18.74,2.72,0.00,2.72
Navin Fluorine International,Chemicals,25.37,2.84,0.00,2.67
Kalpataru Power Trans,Construction,16.99,2.69,0.00,2.61
INOX Leisure,Services,29.50,2.54,0.00,2.54
