Company,Instrument,Credit Rating,1Y Range,% Assets
3. Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan,,,,
7.89% SIDBI 2022,Non Convertible Debenture,AAA,0.00 - 3.80,3.4
8.9% State Bank of India 2028,Non Convertible Debenture,AAA,0.00 - 3.68,3.3
7.68% ONGC Petro Additions 2020,Structured Obligation,AAA,3.01 - 5.34,3.01
8.25% IRFC 2024,Debenture,AAA,0.00 - 2.72,2.65
8.02% BPCL 2024,Debenture,AAA,0.00 - 3.50,2.45
8.8% IDFC First Bank 2021,Debenture,AA+,0.00 - 3.62,2.37
8.5% National Bank Agr. Rur. Devp,Debenture,AAA,0.00 - 2.51,2.14
7.17% Nat. Highways Authority 2021,Non Convertible Debenture,AAA,0.00 - 2.14,2.14
State Bank of India 2056,Debenture,AA+,0.00 - 4.90,2.11
7.85% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,0.00 - 2.23,2.1
8.15% National Bank Agr. Rur. Devp 2022,Debenture,AAA,0.00 - 3.25,1.79
SIDBI 2020,Commercial Paper,A1+,0.00 - 1.86,1.69
7.11% Nat. Highways Authority 2022,Non Convertible Debenture,AAA,0.00 - 1.86,1.66
7.62% HUDCO 2022,Debenture,AAA,0.00 - 1.85,1.49
8.37% National Bank Agr. Rur. Devp 2021,Debenture,AAA,0.71 - 2.09,1.45
8.37% HUDCO 2029,Debenture,AAA,0.00 - 1.84,1.43
SIDBI 2020,Certificate of Deposit,A1+,0.00 - 1.55,1.4
Axis Bank 2020,Certificate of Deposit,A1+,0.00 - 1.42,1.4
8.18% Power Finance Corp. 2022,Debenture,AAA,0.00 - 2.38,1.38
8.45% REC 2022,Debenture,AAA,0.00 - 2.11,1.33
8.2% Power Finance Corp. 2022,Non Convertible Debenture,AAA,0.00 - 1.63,1.26
8.37% REC 2028,Debenture,AAA,0.00 - 1.87,1.26
7.59% GOI 2026,GOI Securities,SOV,0.00 - 1.23,1.23
7.29% SIDBI 2022,Debenture,AAA,0.00 - 1.22,1.19
Indian Bank 2019,Certificate of Deposit,A1+,0.00 - 1.18,1.18
4. Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan,,,,
7.89% SIDBI 2022,Non Convertible Debenture,AAA,0.00 - 3.80,3.4
8.9% State Bank of India 2028,Non Convertible Debenture,AAA,0.00 - 3.68,3.3
7.68% ONGC Petro Additions 2020,Structured Obligation,AAA,3.01 - 5.34,3.01
8.25% IRFC 2024,Debenture,AAA,0.00 - 2.72,2.65
8.02% BPCL 2024,Debenture,AAA,0.00 - 3.50,2.45
8.8% IDFC First Bank 2021,Debenture,AA+,0.00 - 3.62,2.37
8.5% National Bank Agr. Rur. Devp,Debenture,AAA,0.00 - 2.51,2.14
7.17% Nat. Highways Authority 2021,Non Convertible Debenture,AAA,0.00 - 2.14,2.14
State Bank of India 2056,Debenture,AA+,0.00 - 4.90,2.11
7.85% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,0.00 - 2.23,2.1
8.15% National Bank Agr. Rur. Devp 2022,Debenture,AAA,0.00 - 3.25,1.79
SIDBI 2020,Commercial Paper,A1+,0.00 - 1.86,1.69
7.11% Nat. Highways Authority 2022,Non Convertible Debenture,AAA,0.00 - 1.86,1.66
7.62% HUDCO 2022,Debenture,AAA,0.00 - 1.85,1.49
8.37% National Bank Agr. Rur. Devp 2021,Debenture,AAA,0.71 - 2.09,1.45
8.37% HUDCO 2029,Debenture,AAA,0.00 - 1.84,1.43
SIDBI 2020,Certificate of Deposit,A1+,0.00 - 1.55,1.4
Axis Bank 2020,Certificate of Deposit,A1+,0.00 - 1.42,1.4
8.18% Power Finance Corp. 2022,Debenture,AAA,0.00 - 2.38,1.38
8.45% REC 2022,Debenture,AAA,0.00 - 2.11,1.33
8.2% Power Finance Corp. 2022,Non Convertible Debenture,AAA,0.00 - 1.63,1.26
8.37% REC 2028,Debenture,AAA,0.00 - 1.87,1.26
7.59% GOI 2026,GOI Securities,SOV,0.00 - 1.23,1.23
7.29% SIDBI 2022,Debenture,AAA,0.00 - 1.22,1.19
Indian Bank 2019,Certificate of Deposit,A1+,0.00 - 1.18,1.18
5. Aditya Birla Sun Life Corporate Bond Fund,,,,
7.68% ONGC Petro Additions 2020,Structured Obligation,AAA,4.46 - 5.83,4.46
8.65% M&M Financial Services 2021,Debenture,AAA,0.00 - 2.85,2.7
8.2% Power Finance Corp. 2020,Bonds/NCDs,AAA,0.00 - 3.07,2.55
6.95% Reliance Industries 2020,Debenture,AAA,0.00 - 2.55,2.49
7.17% GOI 2028,GOI Securities,SOV,0.01 - 10.36,2.47
Oriental Bank of Com. 2019,Certificate of Deposit,A1+,0.00 - 2.15,2.15
7.3% Power Finance Corp. 2020,Debenture,AAA,2.10 - 2.55,2.11
8.37% REC 2020,Bonds,AAA,1.24 - 2.20,1.89
8.37% REC 2028,Debenture,AAA,0.00 - 2.71,1.79
7.9% Tata Sons 2020,Debenture,AAA,1.78 - 2.41,1.78
6.78% Reliance Industries 2020,Non Convertible Debenture,AAA,0.00 - 1.65,1.65
7.2525% Bajaj Finance 2020,Debenture,AAA,0.00 - 1.56,1.5
9.3434% M&M Financial Services 2020,Bonds/Debentures,AAA,0.00 - 2.66,1.49
